,응답자,응답년도,코드북 일련번호,설문 문항,응답 내용
0,중1,2023,376657,고유 ID,26771
1,중1,2023,376670,시/도(학교 기준),서울
2,중1,2023,376687,도시규모(학교 기준),대도시
3,중1,2023,376690,시/도(거주지 기준),서울
4,중1,2023,376724,생년,2005
5,중1,2023,376726,성별,남자
6,중1,2023,376735,[수면의 질]-평일_수면의 질,매우 잘 잔다
7,중1,2023,376743,[수면의 질]-주말_수면의 질,매우 잘 잔다
8,중1,2023,376761,[학습시간]-평일_학원 및 과외 시간,1시간 ~ 2시간 미만
9,중1,2023,376768,[학습시간]-주말_학원 및 과외 시간,1시간 ~ 2시간 미만
10,중1,2023,376775,[학습시간]-평일_인터넷 및 TV강의 시간,1시간 ~ 2시간 미만
11,중1,2023,376782,[학습시간]-주말_인터넷 및 TV강의 시간,1시간 ~ 2시간 미만
12,중1,2023,376786,[학습시간]-평일_방과 후 학교,전혀 안함
13,중1,2023,376793,[학습시간]-주말_방과 후 학교,전혀 안함
14,중1,2023,376806,[학습시간]-평일_스스로 공부하는 시간,4시간 이상~
15,중1,2023,376813,[학습시간]-주말_스스로 공부하는 시간,4시간 이상~
16,중1,2023,376814,[여가시간]-평일_독서 시간,전혀 안함
17,중1,2023,376821,[여가시간]-주말_독서 시간,전혀 안함
18,중1,2023,376830,[여가시간]-평일_운동 및 신체활동 시간,30분 ~ 1시간 미만
19,중1,2023,376837,[여가시간]-주말_운동 및 신체활동 시간,30분 ~ 1시간 미만
20,중1,2023,376842,[여가시간]-평일_스마트폰을 가지고 노는 시간,전혀 안함
21,중1,2023,376849,[여가시간]-주말_스마트폰을 가지고 노는 시간,전혀 안함
22,중1,2023,376856,[여가시간]-평일_컴퓨터를 가지고 노는 시간,전혀 안함
23,중1,2023,376866,[여가시간]-주말_컴퓨터를 가지고 노는 시간,1시간 ~ 2시간 미만
24,중1,2023,376870,[여가시간]-평일_TV를 시청하며 노는 시간,전혀 안함
25,중1,2023,376877,[여가시간]-주말_TV를 시청하며 노는 시간,전혀 안함
26,중1,2023,376884,[여가시간]-평일_이외에 친구들과 노는 시간,전혀 안함
27,중1,2023,376891,[여가시간]-주말_이외에 친구들과 노는 시간,전혀 안함
28,중1,2023,376912,[학업 열의]-내가 하고 있는 공부의 의미와 목적을 분명히 안다,그런 편이다
29,중1,2023,376916,[학업 열의]-공부란 도전해 볼만한 것이라고 생각한다,그런 편이다
30,중1,2023,376920,[학업 열의]-공부를 하면 뿌듯해진다,그런 편이다
31,중1,2023,376923,[학업 열의]-공부를 통해 자아실현을 할 수 있다고 생각한다,그렇지 않은 편이다
32,중1,2023,376927,[학업 열의]-공부할 때 힘이 나고 활기가 생긴다,그렇지 않은 편이다
33,중1,2023,376931,[학업 열의]-공부할 때 에너지가 생긴다,그렇지 않은 편이다
34,중1,2023,376935,[학업 열의]-공부할 때 정신적으로 힘이 난다,그렇지 않은 편이다
35,중1,2023,376939,[학업 열의]-아침에 일어나면 수업 들으러 학교에 가고 싶다,그렇지 않은 편이다
36,중1,2023,376943,[학업 열의]-공부를 잘한다,그렇지 않은 편이다
37,중1,2023,376947,[학업 열의]-공부에 있어 누구에게도 뒤지지 않는다,그렇지 않은 편이다
38,중1,2023,376952,[학업 열의]-공부에 자신이 있다,그런 편이다
39,중1,2023,376956,[학업 열의]-어려운 과제도 충분히 해결할 만한 능력이 있다,그런 편이다
40,중1,2023,376960,[학업 열의]-공부할 때 내 주변의 다른 모든 것을 잊어버린다,그런 편이다
41,중1,2023,376964,[학업 열의]-공부를 시작하면 푹 빠진다,그런 편이다
42,중1,2023,376969,[학업 열의]-공부를 하다보면 나도 모르게 집중할 때가 있다,매우 그렇다
43,중1,2023,376973,[학업 열의]-공부할 때 시간이 잘 간다,매우 그렇다
44,중1,2023,376975,[학업 무기력]-실력 차이를 내 힘으로 극복할 수는 없다고 생각한다,그렇지 않은 편이다
45,중1,2023,376979,[학업 무기력]-아무리 공부해도 내가 지금보다 더 잘할 수는 없다고 생각한다,그렇지 않은 편이다
46,중1,2023,376983,[학업 무기력]-내 힘으로 학업 문제를 해결할 수는 없다고 생각한다,그렇지 않은 편이다
47,중1,2023,376987,[학업 무기력]-공부를 잘하기 위하여 내가 할 수 있는 일이 없다고 생각한다,그렇지 않은 편이다
48,중1,2023,376992,[학업 무기력]-공부에 신경 쓰고 싶지 않다,그런 편이다
49,중1,2023,376995,[학업 무기력]-공부를 왜 해야 하는지 관심도 없다,그렇지 않은 편이다
50,중1,2023,376999,[학업 무기력]-공부를 열심히 해야 하는 이유를 모르겠다,그렇지 않은 편이다
51,중1,2023,377003,[학업 무기력]-공부하고 싶은 의욕이 생기지 않는다,그렇지 않은 편이다
52,중1,2023,377008,[학업 무기력]-공부하는 것이 즐겁지 않다,그런 편이다
53,중1,2023,377010,[학업 무기력]-수업을 듣거나 모둠활동을 하면서 유쾌함을 느끼지 못한다,전혀 그렇지 않다
54,중1,2023,377014,[학업 무기력]-학교에서 생활하면서 행복함을 느끼지 못한다,전혀 그렇지 않다
55,중1,2023,377018,[학업 무기력]-점수가 잘 나온다 해도 기쁘지 않다,전혀 그렇지 않다
56,중1,2023,377022,[학업 무기력]-시험기간이라도 공부에 전념하지 않는다,전혀 그렇지 않다
57,중1,2023,377026,[학업 무기력]-스스로 알아서 공부하지 않는다,전혀 그렇지 않다
58,중1,2023,377030,[학업 무기력]-수업에 적극적으로 참여하지 않는다,전혀 그렇지 않다
59,중1,2023,377034,[학업 무기력]-스스로 알아서 학습계획을 짜본 적이 없다,전혀 그렇지 않다
60,중1,2023,377140,"[삶의 만족도]-전반적으로 볼 때, 나의 삶은 나의 이상에 가깝다",그렇지 않은 편이다
61,중1,2023,377144,[삶의 만족도]-내 삶의 상황들은 아주 좋다,그렇지 않은 편이다
