,응답자,응답년도,코드북 일련번호,설문 문항,응답 내용
0,중1,2020,371572,고유 ID,27681
1,중1,2020,371590,시/도(학교 기준),서울
2,중1,2020,371608,도시규모(학교 기준),대도시
3,중1,2020,371611,시/도(거주지 기준),서울
4,중1,2020,371632,생년,2005
5,중1,2020,371635,성별,여자
6,중1,2020,371643,[수면의 질]-평일_수면의 질,매우 잘 잔다
7,중1,2020,371651,[수면의 질]-주말_수면의 질,매우 잘 잔다
8,중1,2020,371672,[학습시간]-평일_학원 및 과외 시간,4시간 이상~
9,중1,2020,371673,[학습시간]-주말_학원 및 과외 시간,전혀 안함
10,중1,2020,371680,[학습시간]-평일_인터넷 및 TV강의 시간,전혀 안함
11,중1,2020,371687,[학습시간]-주말_인터넷 및 TV강의 시간,전혀 안함
12,중1,2020,371694,[학습시간]-평일_방과 후 학교,전혀 안함
13,중1,2020,371701,[학습시간]-주말_방과 후 학교,전혀 안함
14,중1,2020,371711,[학습시간]-평일_스스로 공부하는 시간,1시간 ~ 2시간 미만
15,중1,2020,371720,[학습시간]-주말_스스로 공부하는 시간,3시간 ~ 4시간 미만
16,중1,2020,371723,[여가시간]-평일_독서 시간,30분 미만
17,중1,2020,371730,[여가시간]-주말_독서 시간,30분 미만
18,중1,2020,371737,[여가시간]-평일_운동 및 신체활동 시간,30분 미만
19,중1,2020,371744,[여가시간]-주말_운동 및 신체활동 시간,30분 미만
20,중1,2020,371754,[여가시간]-평일_스마트폰을 가지고 노는 시간,2시간 ~ 3시간 미만
21,중1,2020,371761,[여가시간]-주말_스마트폰을 가지고 노는 시간,2시간 ~ 3시간 미만
22,중1,2020,371767,[여가시간]-평일_컴퓨터를 가지고 노는 시간,1시간 ~ 2시간 미만
23,중1,2020,371777,[여가시간]-주말_컴퓨터를 가지고 노는 시간,4시간 이상~
24,중1,2020,371779,[여가시간]-평일_TV를 시청하며 노는 시간,30분 미만
25,중1,2020,371787,[여가시간]-주말_TV를 시청하며 노는 시간,30분 ~ 1시간 미만
26,중1,2020,371793,[여가시간]-평일_이외에 친구들과 노는 시간,30분 미만
27,중1,2020,371803,[여가시간]-주말_이외에 친구들과 노는 시간,2시간 ~ 3시간 미만
28,중1,2020,371821,[학업 열의]-내가 하고 있는 공부의 의미와 목적을 분명히 안다,매우 그렇다
29,중1,2020,371825,[학업 열의]-공부란 도전해 볼만한 것이라고 생각한다,매우 그렇다
30,중1,2020,371829,[학업 열의]-공부를 하면 뿌듯해진다,매우 그렇다
31,중1,2020,371833,[학업 열의]-공부를 통해 자아실현을 할 수 있다고 생각한다,매우 그렇다
