,응답자,응답년도,코드북 일련번호,설문 문항,응답 내용
0,중1,2022,374944,고유 ID,30161
1,중1,2022,374958,시/도(학교 기준),부산
2,중1,2022,374974,도시규모(학교 기준),대도시
3,중1,2022,374978,시/도(거주지 기준),부산
4,중1,2022,375005,생년,2005
5,중1,2022,375008,성별,여자
6,중1,2022,375015,[수면의 질]-평일_수면의 질,잘 자는 편이다
7,중1,2022,375023,[수면의 질]-주말_수면의 질,잘 자는 편이다
8,중1,2022,375039,[학습시간]-평일_학원 및 과외 시간,전혀 안함
9,중1,2022,375046,[학습시간]-주말_학원 및 과외 시간,전혀 안함
10,중1,2022,375057,[학습시간]-평일_인터넷 및 TV강의 시간,2시간 ~ 3시간 미만
11,중1,2022,375064,[학습시간]-주말_인터넷 및 TV강의 시간,2시간 ~ 3시간 미만
12,중1,2022,375067,[학습시간]-평일_방과 후 학교,전혀 안함
13,중1,2022,375074,[학습시간]-주말_방과 후 학교,전혀 안함
14,중1,2022,375084,[학습시간]-평일_스스로 공부하는 시간,1시간 ~ 2시간 미만
15,중1,2022,375092,[학습시간]-주말_스스로 공부하는 시간,2시간 ~ 3시간 미만
16,중1,2022,375095,[여가시간]-평일_독서 시간,전혀 안함
17,중1,2022,375102,[여가시간]-주말_독서 시간,전혀 안함
18,중1,2022,375109,[여가시간]-평일_운동 및 신체활동 시간,전혀 안함
19,중1,2022,375116,[여가시간]-주말_운동 및 신체활동 시간,전혀 안함
20,중1,2022,375125,[여가시간]-평일_스마트폰을 가지고 노는 시간,30분 ~ 1시간 미만
21,중1,2022,375132,[여가시간]-주말_스마트폰을 가지고 노는 시간,30분 ~ 1시간 미만
22,중1,2022,375137,[여가시간]-평일_컴퓨터를 가지고 노는 시간,전혀 안함
23,중1,2022,375144,[여가시간]-주말_컴퓨터를 가지고 노는 시간,전혀 안함
24,중1,2022,375152,[여가시간]-평일_TV를 시청하며 노는 시간,30분 미만
25,중1,2022,375160,[여가시간]-주말_TV를 시청하며 노는 시간,30분 ~ 1시간 미만
26,중1,2022,375166,[여가시간]-평일_이외에 친구들과 노는 시간,30분 미만
27,중1,2022,375174,[여가시간]-주말_이외에 친구들과 노는 시간,30분 ~ 1시간 미만
28,중1,2022,375193,[학업 열의]-내가 하고 있는 공부의 의미와 목적을 분명히 안다,그런 편이다
29,중1,2022,375197,[학업 열의]-공부란 도전해 볼만한 것이라고 생각한다,그런 편이다
30,중1,2022,375201,[학업 열의]-공부를 하면 뿌듯해진다,그런 편이다
31,중1,2022,375205,[학업 열의]-공부를 통해 자아실현을 할 수 있다고 생각한다,그런 편이다
32,중1,2022,375207,[학업 열의]-공부할 때 힘이 나고 활기가 생긴다,전혀 그렇지 않다
33,중1,2022,375211,[학업 열의]-공부할 때 에너지가 생긴다,전혀 그렇지 않다
34,중1,2022,375216,[학업 열의]-공부할 때 정신적으로 힘이 난다,그렇지 않은 편이다
35,중1,2022,375220,[학업 열의]-아침에 일어나면 수업 들으러 학교에 가고 싶다,그렇지 않은 편이다
