,응답자,응답년도,코드북 일련번호,설문 문항,응답 내용
0,중1,2018,368624,고유 ID,28081
1,중1,2018,368634,시/도(학교 기준),서울
2,중1,2018,368651,도시규모(학교 기준),대도시
3,중1,2018,368654,시/도(거주지 기준),서울
4,중1,2018,368673,생년,2005
5,중1,2018,368675,성별,남자
6,중1,2018,368684,[수면의 질]-평일_수면의 질,매우 잘 잔다
7,중1,2018,368692,[수면의 질]-주말_수면의 질,매우 잘 잔다
8,중1,2018,368713,[학습시간]-평일_학원 및 과외 시간,4시간 이상~
9,중1,2018,368720,[학습시간]-주말_학원 및 과외 시간,4시간 이상~
10,중1,2018,368721,[학습시간]-평일_인터넷 및 TV강의 시간,전혀 안함
11,중1,2018,368728,[학습시간]-주말_인터넷 및 TV강의 시간,전혀 안함
12,중1,2018,368740,[학습시간]-평일_방과 후 학교,3시간 ~ 4시간 미만
13,중1,2018,368742,[학습시간]-주말_방과 후 학교,전혀 안함
14,중1,2018,368753,[학습시간]-평일_스스로 공부하는 시간,2시간 ~ 3시간 미만
15,중1,2018,368761,[학습시간]-주말_스스로 공부하는 시간,3시간 ~ 4시간 미만
16,중1,2018,368765,[여가시간]-평일_독서 시간,30분 ~ 1시간 미만
17,중1,2018,368773,[여가시간]-주말_독서 시간,1시간 ~ 2시간 미만
18,중1,2018,368780,[여가시간]-평일_운동 및 신체활동 시간,1시간 ~ 2시간 미만
19,중1,2018,368785,[여가시간]-주말_운동 및 신체활동 시간,30분 미만
20,중1,2018,368794,[여가시간]-평일_스마트폰을 가지고 노는 시간,1시간 ~ 2시간 미만
21,중1,2018,368802,[여가시간]-주말_스마트폰을 가지고 노는 시간,2시간 ~ 3시간 미만
22,중1,2018,368805,[여가시간]-평일_컴퓨터를 가지고 노는 시간,전혀 안함
23,중1,2018,368812,[여가시간]-주말_컴퓨터를 가지고 노는 시간,전혀 안함
24,중1,2018,368819,[여가시간]-평일_TV를 시청하며 노는 시간,전혀 안함
25,중1,2018,368828,[여가시간]-주말_TV를 시청하며 노는 시간,30분 ~ 1시간 미만
26,중1,2018,368833,[여가시간]-평일_이외에 친구들과 노는 시간,전혀 안함
27,중1,2018,368840,[여가시간]-주말_이외에 친구들과 노는 시간,전혀 안함
28,중1,2018,368862,[학업 열의]-내가 하고 있는 공부의 의미와 목적을 분명히 안다,매우 그렇다
29,중1,2018,368866,[학업 열의]-공부란 도전해 볼만한 것이라고 생각한다,매우 그렇다
30,중1,2018,368869,[학업 열의]-공부를 하면 뿌듯해진다,그런 편이다
31,중1,2018,368873,[학업 열의]-공부를 통해 자아실현을 할 수 있다고 생각한다,그런 편이다
32,중1,2018,368875,[학업 열의]-공부할 때 힘이 나고 활기가 생긴다,전혀 그렇지 않다
